色号,名称,色值,数量,占比
P01,珠光米白,#FCF7F8,775,49.7%
E15,裸粉,#F8C7C9,461,29.6%
H07,黑色,#000000,186,11.9%
H16,纯黑,#1D1414,70,4.5%
G08,深棕,#753B32,39,2.5%
R22,夜光珊瑚,#6C372F,20,1.3%
F11,深褐红,#5A2121,7,0.4%
G10,秘鲁棕,#D98C39,2,0.1%
