色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1165,32.4%
H07,黑色,#000000,656,18.2%
R14,夜光浅青,#9FE4DF,400,11.1%
C22,海洋绿,#67B4BE,376,10.4%
C13,浅钢蓝,#CDE8FF,308,8.6%
G01,玉米丝,#FFE2CE,269,7.5%
R17,夜光薄荷,#4A867A,131,3.6%
M13,哑光珊瑚,#D19066,89,2.5%
A17,蜜橙,#FFE36E,71,2.0%
B32,黄绿2,#9CAB5A,51,1.4%
B12,海绿,#166F41,38,1.1%
R18,夜光浅绿,#7FCD9D,22,0.6%
D24,矢车菊蓝,#7786E5,14,0.4%
C28,浅灰色,#34488E,10,0.3%
