色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1292,38.6%
A26,深橙,#FFC830,304,9.1%
R21,夜光桃,#AD6F30,241,7.2%
A17,蜜橙,#FFE36E,221,6.6%
P08,珠光黄,#F0D958,219,6.5%
G05,深橙,#EDB045,178,5.3%
A21,焦糖,#FFE395,164,4.9%
H13,小麦灰,#F5ECD2,129,3.9%
A18,浅橙,#FEBE7D,125,3.7%
G10,秘鲁棕,#D98C39,120,3.6%
G07,马鞍棕,#9D5B3E,83,2.5%
R20,夜光雪白,#E8C7B4,83,2.5%
M13,哑光珊瑚,#D19066,81,2.4%
F11,深褐红,#5A2121,62,1.9%
P22,珠光暖粉,#E4A89F,48,1.4%
