色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1637,25.6%
G18,古董白,#FFE4C0,1020,15.9%
R14,夜光浅青,#9FE4DF,725,11.3%
B14,霓虹黄,#ADE946,616,9.6%
C02,青绿,#A9F9FC,498,7.8%
G15,柠檬绸,#FCF9E0,348,5.4%
B04,荧光绿,#5DE035,301,4.7%
G03,硬木色,#F4C3A5,202,3.2%
F19,玫红,#C1444A,196,3.1%
P08,珠光黄,#F0D958,192,3.0%
Q5,亮浅蓝,#76CEDE,178,2.8%
G17,黑色,#7B524B,171,2.7%
F23,橙红色,#F67E66,100,1.6%
B13,亮黄绿,#CAEB7B,82,1.3%
H06,炭灰,#2F2B2F,76,1.2%
H07,黑色,#000000,58,0.9%
