色号,名称,色值,数量,占比
H02,白色,#FEFFFF,464,38.7%
A17,蜜橙,#FFE36E,108,9.0%
G05,深橙,#EDB045,105,8.8%
R21,夜光桃,#AD6F30,88,7.3%
A20,南瓜橙,#FFD568,87,7.2%
G10,秘鲁棕,#D98C39,86,7.2%
A21,焦糖,#FFE395,58,4.8%
A18,浅橙,#FEBE7D,46,3.8%
H19,淡黄米,#F6EFE2,45,3.8%
F10,番茄红,#8A4526,29,2.4%
P21,珠光浅玫瑰,#ECBEBF,26,2.2%
F11,深褐红,#5A2121,24,2.0%
G16,金麒麟,#F2D9BA,23,1.9%
F20,巧克力,#CD9391,11,0.9%
