色号,名称,色值,数量,占比
P16,珠光金黄,#FFEFAB,1028,39.5%
H07,黑色,#000000,563,21.7%
H02,白色,#FEFFFF,248,9.5%
H19,淡黄米,#F6EFE2,224,8.6%
G11,卡其黄,#E0C593,163,6.3%
G18,古董白,#FFE4C0,73,2.8%
M01,哑光薄荷,#BCC6B8,71,2.7%
H05,暗灰,#48464E,58,2.2%
P09,珠光白,#D9D9D9,47,1.8%
A21,焦糖,#FFE395,37,1.4%
M05,哑光卡其,#D0CCAA,35,1.3%
R23,夜光淡黄,#FEB872,21,0.8%
A11,杏黄,#FFDD99,20,0.8%
F23,橙红色,#F67E66,7,0.3%
M09,哑光金麒麟,#A58767,5,0.2%
