色号,名称,色值,数量,占比
B31,蜜瓜绿,#B0E792,621,24.4%
E14,橙粉,#FFD1BA,582,22.8%
B17,橄榄暗绿,#9BB13A,549,21.5%
H02,白色,#FEFFFF,377,14.8%
H07,黑色,#000000,135,5.3%
H16,纯黑,#1D1414,83,3.3%
B11,橄榄绿,#5D722A,51,2.0%
G17,黑色,#7B524B,40,1.6%
R18,夜光浅绿,#7FCD9D,40,1.6%
H09,米灰,#EDEDED,36,1.4%
G14,赭色,#8D614C,26,1.0%
M07,哑光桃,#B4A497,8,0.3%
G10,秘鲁棕,#D98C39,2,0.1%
