色号,名称,色值,数量,占比
H02,白色,#FEFFFF,898,24.9%
G18,古董白,#FFE4C0,542,15.1%
R14,夜光浅青,#9FE4DF,352,9.8%
B14,霓虹黄,#ADE946,334,9.3%
C02,青绿,#A9F9FC,267,7.4%
H07,黑色,#000000,228,6.3%
B04,荧光绿,#5DE035,171,4.8%
Q5,亮浅蓝,#76CEDE,161,4.5%
G15,柠檬绸,#FCF9E0,147,4.1%
P08,珠光黄,#F0D958,112,3.1%
G03,硬木色,#F4C3A5,101,2.8%
F19,玫红,#C1444A,100,2.8%
G17,黑色,#7B524B,78,2.2%
B13,亮黄绿,#CAEB7B,39,1.1%
F23,橙红色,#F67E66,37,1.0%
H06,炭灰,#2F2B2F,33,0.9%
