色号,名称,色值,数量,占比
A23,肉粉,#E6C9B7,698,16.2%
H06,炭灰,#2F2B2F,536,12.5%
R12,夜光白,#D8D5CE,475,11.0%
M10,哑光蓟紫,#C5B2B0,472,11.0%
H05,暗灰,#48464E,422,9.8%
H16,纯黑,#1D1414,371,8.6%
C18,深海蓝,#1D3344,370,8.6%
H04,深灰,#898580,201,4.7%
M07,哑光桃,#B4A497,199,4.6%
H07,黑色,#000000,134,3.1%
M03,哑光军蓝,#697D80,125,2.9%
R13,夜光黑,#55514C,120,2.8%
B09,深绿,#27523A,80,1.9%
G17,黑色,#7B524B,34,0.8%
P12,珠光浅蓝,#E6EEF2,33,0.8%
M08,哑光玫瑰褐,#B38281,30,0.7%
