色号,名称,色值,数量,占比
H02,白色,#FEFFFF,2248,31.8%
H07,黑色,#000000,1255,17.8%
R14,夜光浅青,#9FE4DF,807,11.4%
C13,浅钢蓝,#CDE8FF,602,8.5%
G01,玉米丝,#FFE2CE,526,7.4%
H03,浅灰,#B6B1BA,468,6.6%
H15,浅钢蓝灰,#98A6A8,261,3.7%
R17,夜光薄荷,#4A867A,255,3.6%
M13,哑光珊瑚,#D19066,182,2.6%
A17,蜜橙,#FFE36E,144,2.0%
B32,黄绿2,#9CAB5A,103,1.5%
B12,海绿,#166F41,77,1.1%
H16,纯黑,#1D1414,48,0.7%
R18,夜光浅绿,#7FCD9D,45,0.6%
D24,矢车菊蓝,#7786E5,28,0.4%
C28,浅灰色,#34488E,21,0.3%
