色号,名称,色值,数量,占比
H16,纯黑,#1D1414,1017,27.5%
H07,黑色,#000000,543,14.7%
R13,夜光黑,#55514C,376,10.2%
H06,炭灰,#2F2B2F,351,9.5%
B23,深灰绿,#303A21,227,6.1%
G17,黑色,#7B524B,195,5.3%
F11,深褐红,#5A2121,181,4.9%
G14,赭色,#8D614C,177,4.8%
M07,哑光桃,#B4A497,150,4.1%
H23,橄榄灰,#9A9D94,142,3.8%
R21,夜光桃,#AD6F30,99,2.7%
F10,番茄红,#8A4526,87,2.4%
R12,夜光白,#D8D5CE,84,2.3%
M13,哑光珊瑚,#D19066,71,1.9%
