色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1138,31.6%
C22,海洋绿,#67B4BE,429,11.9%
R14,夜光浅青,#9FE4DF,425,11.8%
C13,浅钢蓝,#CDE8FF,384,10.7%
G01,玉米丝,#FFE2CE,302,8.4%
R17,夜光薄荷,#4A867A,160,4.4%
H15,浅钢蓝灰,#98A6A8,141,3.9%
M07,哑光桃,#B4A497,132,3.7%
H09,米灰,#EDEDED,96,2.7%
B21,青绿,#156A6B,89,2.5%
A17,蜜橙,#FFE36E,76,2.1%
B32,黄绿2,#9CAB5A,72,2.0%
H16,纯黑,#1D1414,65,1.8%
B12,海绿,#166F41,44,1.2%
R18,夜光浅绿,#7FCD9D,32,0.9%
D24,矢车菊蓝,#7786E5,15,0.4%
