色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1103,33.4%
H16,纯黑,#1D1414,629,19.1%
H07,黑色,#000000,614,18.6%
H06,炭灰,#2F2B2F,368,11.2%
C12,午夜蓝,#1C334D,217,6.6%
H08,粉灰,#E7D6DB,111,3.4%
R13,夜光黑,#55514C,90,2.7%
P21,珠光浅玫瑰,#ECBEBF,60,1.8%
F11,深褐红,#5A2121,56,1.7%
F20,巧克力,#CD9391,27,0.8%
M10,哑光蓟紫,#C5B2B0,15,0.5%
F06,印度红,#943630,10,0.3%
