色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1245,25.4%
G18,古董白,#FFE4C0,724,14.8%
R14,夜光浅青,#9FE4DF,562,11.5%
B14,霓虹黄,#ADE946,450,9.2%
C02,青绿,#A9F9FC,363,7.4%
B04,荧光绿,#5DE035,240,4.9%
G15,柠檬绸,#FCF9E0,237,4.8%
H07,黑色,#000000,223,4.6%
Q5,亮浅蓝,#76CEDE,143,2.9%
G03,硬木色,#F4C3A5,141,2.9%
P08,珠光黄,#F0D958,139,2.8%
F19,玫红,#C1444A,135,2.8%
G17,黑色,#7B524B,110,2.2%
B13,亮黄绿,#CAEB7B,71,1.4%
F23,橙红色,#F67E66,63,1.3%
H06,炭灰,#2F2B2F,54,1.1%
