色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1266,37.8%
G05,深橙,#EDB045,360,10.7%
A17,蜜橙,#FFE36E,231,6.9%
R21,夜光桃,#AD6F30,228,6.8%
P08,珠光黄,#F0D958,220,6.6%
G06,橙色,#E99C17,204,6.1%
A21,焦糖,#FFE395,152,4.5%
R23,夜光淡黄,#FEB872,138,4.1%
H19,淡黄米,#F6EFE2,117,3.5%
P22,珠光暖粉,#E4A89F,99,3.0%
M13,哑光珊瑚,#D19066,86,2.6%
H16,纯黑,#1D1414,80,2.4%
P11,珠光淡黄,#F3ECC9,68,2.0%
G07,马鞍棕,#9D5B3E,59,1.8%
G20,暗金,#A94023,42,1.3%
