色号,名称,色值,数量,占比
B31,蜜瓜绿,#B0E792,616,24.2%
B17,橄榄暗绿,#9BB13A,533,20.9%
E14,橙粉,#FFD1BA,477,18.7%
H07,黑色,#000000,415,16.3%
H02,白色,#FEFFFF,368,14.4%
M04,哑光小麦,#E3D2B0,44,1.7%
B11,橄榄绿,#5D722A,40,1.6%
G17,黑色,#7B524B,21,0.8%
R24,夜光淡紫粉,#F3C1C0,14,0.5%
G14,赭色,#8D614C,10,0.4%
R13,夜光黑,#55514C,9,0.4%
H16,纯黑,#1D1414,3,0.1%
