色号,名称,色值,数量,占比
P16,珠光金黄,#FFEFAB,1025,39.4%
H07,黑色,#000000,564,21.7%
H02,白色,#FEFFFF,247,9.5%
H19,淡黄米,#F6EFE2,217,8.3%
G11,卡其黄,#E0C593,199,7.7%
G18,古董白,#FFE4C0,81,3.1%
M01,哑光薄荷,#BCC6B8,69,2.7%
A11,杏黄,#FFDD99,53,2.0%
P09,珠光白,#D9D9D9,46,1.8%
H05,暗灰,#48464E,45,1.7%
R13,夜光黑,#55514C,15,0.6%
A18,浅橙,#FEBE7D,14,0.5%
F23,橙红色,#F67E66,12,0.5%
G16,金麒麟,#F2D9BA,8,0.3%
M09,哑光金麒麟,#A58767,5,0.2%
