色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1192,24.3%
G18,古董白,#FFE4C0,604,12.3%
H07,黑色,#000000,588,12.0%
R14,夜光浅青,#9FE4DF,495,10.1%
B14,霓虹黄,#ADE946,429,8.8%
C02,青绿,#A9F9FC,345,7.0%
B04,荧光绿,#5DE035,228,4.7%
Q5,亮浅蓝,#76CEDE,200,4.1%
G15,柠檬绸,#FCF9E0,192,3.9%
P08,珠光黄,#F0D958,127,2.6%
F19,玫红,#C1444A,119,2.4%
G03,硬木色,#F4C3A5,115,2.3%
G17,黑色,#7B524B,94,1.9%
B13,亮黄绿,#CAEB7B,67,1.4%
P07,珠光桃,#EB9270,59,1.2%
H06,炭灰,#2F2B2F,46,0.9%
