色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1954,54.3%
G14,赭色,#8D614C,320,8.9%
H19,淡黄米,#F6EFE2,165,4.6%
M09,哑光金麒麟,#A58767,162,4.5%
G17,黑色,#7B524B,153,4.2%
B23,深灰绿,#303A21,150,4.2%
E01,浅肤粉,#FDD3C0,124,3.4%
P21,珠光浅玫瑰,#ECBEBF,111,3.1%
H16,纯黑,#1D1414,109,3.0%
F20,巧克力,#CD9391,80,2.2%
G04,巧克力,#E1B383,77,2.1%
H07,黑色,#000000,69,1.9%
M12,哑光中紫,#644749,66,1.8%
H23,橄榄灰,#9A9D94,39,1.1%
M05,哑光卡其,#D0CCAA,21,0.6%
