色号,名称,色值,数量,占比
H02,白色,#FEFFFF,634,25.4%
G18,古董白,#FFE4C0,324,13.0%
R14,夜光浅青,#9FE4DF,262,10.5%
B14,霓虹黄,#ADE946,245,9.8%
C02,青绿,#A9F9FC,175,7.0%
H07,黑色,#000000,164,6.6%
B04,荧光绿,#5DE035,124,5.0%
G15,柠檬绸,#FCF9E0,112,4.5%
Q5,亮浅蓝,#76CEDE,110,4.4%
P08,珠光黄,#F0D958,67,2.7%
F19,玫红,#C1444A,65,2.6%
G03,硬木色,#F4C3A5,61,2.4%
G17,黑色,#7B524B,56,2.2%
B16,薄荷绿,#C5ED9C,46,1.8%
F23,橙红色,#F67E66,28,1.1%
H06,炭灰,#2F2B2F,27,1.1%
