色号,名称,色值,数量,占比
H02,白色,#FEFFFF,347,41.3%
P01,珠光米白,#FCF7F8,174,20.7%
M12,哑光中紫,#644749,86,10.2%
A16,奶油黄,#FFFF9F,82,9.8%
A24,象牙,#F7F8A2,44,5.2%
G06,橙色,#E99C17,27,3.2%
H09,米灰,#EDEDED,21,2.5%
D24,矢车菊蓝,#7786E5,13,1.5%
P16,珠光金黄,#FFEFAB,13,1.5%
G05,深橙,#EDB045,10,1.2%
R28,夜光蓟紫,#9C87D6,9,1.1%
M13,哑光珊瑚,#D19066,7,0.8%
C13,浅钢蓝,#CDE8FF,5,0.6%
E21,玫瑰褐,#BD9DA1,2,0.2%
