色号,名称,色值,数量,占比
P16,珠光金黄,#FFEFAB,1035,39.8%
H07,黑色,#000000,566,21.8%
H02,白色,#FEFFFF,246,9.5%
H19,淡黄米,#F6EFE2,220,8.5%
G11,卡其黄,#E0C593,196,7.5%
M01,哑光薄荷,#BCC6B8,69,2.7%
G18,古董白,#FFE4C0,68,2.6%
H05,暗灰,#48464E,58,2.2%
P09,珠光白,#D9D9D9,48,1.8%
A21,焦糖,#FFE395,35,1.3%
A18,浅橙,#FEBE7D,22,0.8%
A11,杏黄,#FFDD99,22,0.8%
F23,橙红色,#F67E66,10,0.4%
M09,哑光金麒麟,#A58767,5,0.2%
