色号,名称,色值,数量,占比
P16,珠光金黄,#FFEFAB,950,37.3%
H01,极浅灰,#FDFBFF,210,8.2%
G11,卡其黄,#E0C593,192,7.5%
H07,黑色,#000000,161,6.3%
H16,纯黑,#1D1414,156,6.1%
H19,淡黄米,#F6EFE2,135,5.3%
R13,夜光黑,#55514C,114,4.5%
H06,炭灰,#2F2B2F,104,4.1%
G17,黑色,#7B524B,101,4.0%
H04,深灰,#898580,93,3.6%
M01,哑光薄荷,#BCC6B8,78,3.1%
G04,巧克力,#E1B383,70,2.7%
M06,哑光暗卡其,#B0A782,66,2.6%
R12,夜光白,#D8D5CE,63,2.5%
H23,橄榄灰,#9A9D94,57,2.2%
