色号,名称,色值,数量,占比
P16,珠光金黄,#FFEFAB,947,37.1%
G01,玉米丝,#FFE2CE,197,7.7%
H02,白色,#FEFFFF,190,7.5%
G11,卡其黄,#E0C593,171,6.7%
H07,黑色,#000000,163,6.4%
H05,暗灰,#48464E,118,4.6%
M01,哑光薄荷,#BCC6B8,102,4.0%
H16,纯黑,#1D1414,96,3.8%
G14,赭色,#8D614C,96,3.8%
H06,炭灰,#2F2B2F,92,3.6%
R13,夜光黑,#55514C,83,3.3%
H04,深灰,#898580,83,3.3%
G04,巧克力,#E1B383,59,2.3%
M07,哑光桃,#B4A497,53,2.1%
M06,哑光暗卡其,#B0A782,51,2.0%
A25,土黄,#FFD67D,49,1.9%
