色号,名称,色值,数量,占比
P16,珠光金黄,#FFEFAB,1032,39.7%
H07,黑色,#000000,501,19.3%
H02,白色,#FEFFFF,253,9.7%
H19,淡黄米,#F6EFE2,230,8.8%
G11,卡其黄,#E0C593,204,7.8%
G18,古董白,#FFE4C0,85,3.3%
M01,哑光薄荷,#BCC6B8,72,2.8%
H05,暗灰,#48464E,53,2.0%
P09,珠光白,#D9D9D9,53,2.0%
A21,焦糖,#FFE395,37,1.4%
A11,杏黄,#FFDD99,24,0.9%
A18,浅橙,#FEBE7D,22,0.8%
R13,夜光黑,#55514C,17,0.7%
F23,橙红色,#F67E66,12,0.5%
M09,哑光金麒麟,#A58767,5,0.2%
