色号,名称,色值,数量,占比
H02,白色,#FEFFFF,5376,53.8%
G14,赭色,#8D614C,961,9.6%
B23,深灰绿,#303A21,505,5.1%
H19,淡黄米,#F6EFE2,493,4.9%
M09,哑光金麒麟,#A58767,474,4.7%
G17,黑色,#7B524B,429,4.3%
E01,浅肤粉,#FDD3C0,403,4.0%
P21,珠光浅玫瑰,#ECBEBF,289,2.9%
F20,巧克力,#CD9391,233,2.3%
M12,哑光中紫,#644749,223,2.2%
G04,巧克力,#E1B383,177,1.8%
H16,纯黑,#1D1414,146,1.5%
M06,哑光暗卡其,#B0A782,139,1.4%
H07,黑色,#000000,79,0.8%
H20,中灰,#949FA3,73,0.7%
