色号,名称,色值,数量,占比
B31,蜜瓜绿,#B0E792,684,28.5%
B17,橄榄暗绿,#9BB13A,521,21.7%
E14,橙粉,#FFD1BA,435,18.1%
H02,白色,#FEFFFF,322,13.4%
H07,黑色,#000000,195,8.1%
M04,哑光小麦,#E3D2B0,58,2.4%
H16,纯黑,#1D1414,45,1.9%
B11,橄榄绿,#5D722A,44,1.8%
E16,玉米丝色,#FFF3EB,31,1.3%
G17,黑色,#7B524B,27,1.1%
G14,赭色,#8D614C,13,0.5%
R24,夜光淡紫粉,#F3C1C0,13,0.5%
B23,深灰绿,#303A21,12,0.5%
