色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1280,51.2%
A11,杏黄,#FFDD99,270,10.8%
G08,深棕,#753B32,199,8.0%
E16,玉米丝色,#FFF3EB,139,5.6%
G17,黑色,#7B524B,136,5.4%
H07,黑色,#000000,112,4.5%
H18,米白,#FFFDF0,101,4.0%
A18,浅橙,#FEBE7D,60,2.4%
R04,荧光黄,#F8EC31,40,1.6%
R24,夜光淡紫粉,#F3C1C0,35,1.4%
E11,肤色,#FCDDD2,31,1.2%
A26,深橙,#FFC830,29,1.2%
M09,哑光金麒麟,#A58767,23,0.9%
A25,土黄,#FFD67D,21,0.8%
A24,象牙,#F7F8A2,14,0.6%
R25,夜光粉红,#C9675E,10,0.4%
