色号,名称,色值,数量,占比
H04,深灰,#898580,1687,17.0%
M03,哑光军蓝,#697D80,1055,10.6%
M07,哑光桃,#B4A497,899,9.1%
H23,橄榄灰,#9A9D94,765,7.7%
G04,巧克力,#E1B383,737,7.4%
R20,夜光雪白,#E8C7B4,678,6.8%
H05,暗灰,#48464E,645,6.5%
C18,深海蓝,#1D3344,557,5.6%
M10,哑光蓟紫,#C5B2B0,538,5.4%
G16,金麒麟,#F2D9BA,500,5.0%
H20,中灰,#949FA3,470,4.7%
M15,哑光石板灰,#757D7B,446,4.5%
G17,黑色,#7B524B,445,4.5%
H06,炭灰,#2F2B2F,332,3.3%
H07,黑色,#000000,166,1.7%
