色号,名称,色值,数量,占比
H02,白色,#FEFFFF,436,17.4%
H16,纯黑,#1D1414,262,10.5%
E18,淡粉,#FFC7DB,206,8.2%
H07,黑色,#000000,203,8.1%
E17,薰衣草,#FFE2EA,188,7.5%
F22,小麦色,#FDC0DD,185,7.4%
Q4,亮浅粉,#FFEBFA,178,7.1%
G12,杏仁白,#FFC890,164,6.6%
F21,苍紫红,#F7B4C6,159,6.4%
F24,浅粉紫,#E698AA,149,6.0%
R27,夜光樱粉,#EA8CB1,105,4.2%
E21,玫瑰褐,#BD9DA1,90,3.6%
H08,粉灰,#E7D6DB,82,3.3%
G17,黑色,#7B524B,50,2.0%
E22,梅红,#B785A1,43,1.7%
