色号,名称,色值,数量,占比
P01,珠光米白,#FCF7F8,438,50.3%
E15,裸粉,#F8C7C9,248,28.5%
H07,黑色,#000000,111,12.8%
H16,纯黑,#1D1414,32,3.7%
G08,深棕,#753B32,28,3.2%
R22,夜光珊瑚,#6C372F,8,0.9%
F11,深褐红,#5A2121,5,0.6%
