色号,名称,色值,数量,占比
H16,纯黑,#1D1414,2646,31.8%
H02,白色,#FEFFFF,1345,16.2%
H07,黑色,#000000,1162,14.0%
H17,白烟,#F1EDED,704,8.5%
R12,夜光白,#D8D5CE,563,6.8%
H06,炭灰,#2F2B2F,540,6.5%
P09,珠光白,#D9D9D9,326,3.9%
M15,哑光石板灰,#757D7B,243,2.9%
M13,哑光珊瑚,#D19066,197,2.4%
H23,橄榄灰,#9A9D94,164,2.0%
M10,哑光蓟紫,#C5B2B0,164,2.0%
R13,夜光黑,#55514C,123,1.5%
F11,深褐红,#5A2121,106,1.3%
F07,暗红,#971937,37,0.4%
