色号,名称,色值,数量,占比
H02,白色,#FEFFFF,607,24.3%
H07,黑色,#000000,322,12.9%
R14,夜光浅青,#9FE4DF,291,11.6%
G18,古董白,#FFE4C0,287,11.5%
B14,霓虹黄,#ADE946,235,9.4%
C02,青绿,#A9F9FC,180,7.2%
B04,荧光绿,#5DE035,121,4.8%
G15,柠檬绸,#FCF9E0,97,3.9%
Q5,亮浅蓝,#76CEDE,73,2.9%
P08,珠光黄,#F0D958,64,2.6%
F19,玫红,#C1444A,58,2.3%
G17,黑色,#7B524B,49,2.0%
G03,硬木色,#F4C3A5,47,1.9%
F23,橙红色,#F67E66,28,1.1%
B13,亮黄绿,#CAEB7B,22,0.9%
H06,炭灰,#2F2B2F,19,0.8%
