色号,名称,色值,数量,占比
H02,白色,#FEFFFF,3448,53.9%
G14,赭色,#8D614C,528,8.2%
H19,淡黄米,#F6EFE2,319,5.0%
M09,哑光金麒麟,#A58767,318,5.0%
G17,黑色,#7B524B,268,4.2%
R24,夜光淡紫粉,#F3C1C0,266,4.2%
B23,深灰绿,#303A21,230,3.6%
E11,肤色,#FCDDD2,195,3.0%
H06,炭灰,#2F2B2F,179,2.8%
F20,巧克力,#CD9391,139,2.2%
M12,哑光中紫,#644749,132,2.1%
H16,纯黑,#1D1414,129,2.0%
G09,鹿皮色,#E6B483,103,1.6%
G04,巧克力,#E1B383,100,1.6%
H20,中灰,#949FA3,46,0.7%
