色号,名称,色值,数量,占比
P01,珠光米白,#FCF7F8,456,52.4%
E15,裸粉,#F8C7C9,244,28.0%
H07,黑色,#000000,75,8.6%
H16,纯黑,#1D1414,39,4.5%
G08,深棕,#753B32,34,3.9%
H08,粉灰,#E7D6DB,13,1.5%
F11,深褐红,#5A2121,5,0.6%
R22,夜光珊瑚,#6C372F,2,0.2%
G21,玫瑰褐,#B88558,2,0.2%
