色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1096,43.0%
A11,杏黄,#FFDD99,200,7.8%
H16,纯黑,#1D1414,163,6.4%
H07,黑色,#000000,160,6.3%
H06,炭灰,#2F2B2F,137,5.4%
H05,暗灰,#48464E,107,4.2%
H22,浅米,#CACAD4,100,3.9%
H10,雪白,#EEE9EA,99,3.9%
R13,夜光黑,#55514C,87,3.4%
G14,赭色,#8D614C,73,2.9%
M15,哑光石板灰,#757D7B,70,2.7%
H04,深灰,#898580,63,2.5%
G11,卡其黄,#E0C593,58,2.3%
P02,珠光灰,#B0A9AC,56,2.2%
M06,哑光暗卡其,#B0A782,51,2.0%
A17,蜜橙,#FFE36E,30,1.2%
