色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1176,46.1%
M09,哑光金麒麟,#A58767,186,7.3%
A11,杏黄,#FFDD99,171,6.7%
A21,焦糖,#FFE395,138,5.4%
H19,淡黄米,#F6EFE2,135,5.3%
G17,黑色,#7B524B,132,5.2%
G14,赭色,#8D614C,131,5.1%
H08,粉灰,#E7D6DB,100,3.9%
M10,哑光蓟紫,#C5B2B0,82,3.2%
M07,哑光桃,#B4A497,76,3.0%
G08,深棕,#753B32,74,2.9%
G04,巧克力,#E1B383,55,2.2%
A17,蜜橙,#FFE36E,45,1.8%
G21,玫瑰褐,#B88558,30,1.2%
G05,深橙,#EDB045,19,0.7%
