色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1656,25.9%
G18,古董白,#FFE4C0,902,14.1%
R14,夜光浅青,#9FE4DF,621,9.7%
B14,霓虹黄,#ADE946,596,9.3%
C02,青绿,#A9F9FC,479,7.5%
H07,黑色,#000000,434,6.8%
B04,荧光绿,#5DE035,294,4.6%
Q5,亮浅蓝,#76CEDE,276,4.3%
G15,柠檬绸,#FCF9E0,243,3.8%
P08,珠光黄,#F0D958,186,2.9%
F19,玫红,#C1444A,180,2.8%
G03,硬木色,#F4C3A5,163,2.5%
G17,黑色,#7B524B,147,2.3%
B13,亮黄绿,#CAEB7B,79,1.2%
F23,橙红色,#F67E66,78,1.2%
H06,炭灰,#2F2B2F,66,1.0%
