色号,名称,色值,数量,占比
H07,黑色,#000000,372,41.3%
P16,珠光金黄,#FFEFAB,213,23.7%
H16,纯黑,#1D1414,47,5.2%
H06,炭灰,#2F2B2F,42,4.7%
H05,暗灰,#48464E,39,4.3%
R13,夜光黑,#55514C,38,4.2%
M15,哑光石板灰,#757D7B,25,2.8%
G11,卡其黄,#E0C593,25,2.8%
H02,白色,#FEFFFF,24,2.7%
M09,哑光金麒麟,#A58767,20,2.2%
H23,橄榄灰,#9A9D94,15,1.7%
M06,哑光暗卡其,#B0A782,15,1.7%
M01,哑光薄荷,#BCC6B8,14,1.6%
P09,珠光白,#D9D9D9,11,1.2%
