色号,名称,色值,数量,占比
P01,珠光米白,#FCF7F8,1179,49.1%
E15,裸粉,#F8C7C9,683,28.5%
H07,黑色,#000000,340,14.2%
H16,纯黑,#1D1414,90,3.8%
G08,深棕,#753B32,64,2.7%
R22,夜光珊瑚,#6C372F,23,1.0%
F11,深褐红,#5A2121,18,0.8%
G10,秘鲁棕,#D98C39,3,0.1%
