色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1166,32.4%
H07,黑色,#000000,642,17.8%
R14,夜光浅青,#9FE4DF,401,11.1%
C13,浅钢蓝,#CDE8FF,308,8.6%
C10,青色,#3EBCE2,270,7.5%
G01,玉米丝,#FFE2CE,270,7.5%
R17,夜光薄荷,#4A867A,133,3.7%
H15,浅钢蓝灰,#98A6A8,114,3.2%
M13,哑光珊瑚,#D19066,91,2.5%
A17,蜜橙,#FFE36E,71,2.0%
B32,黄绿2,#9CAB5A,51,1.4%
B12,海绿,#166F41,38,1.1%
R18,夜光浅绿,#7FCD9D,22,0.6%
D24,矢车菊蓝,#7786E5,14,0.4%
C28,浅灰色,#34488E,9,0.2%
