色号,名称,色值,数量,占比
H02,白色,#FEFFFF,864,34.6%
H07,黑色,#000000,663,26.5%
G10,秘鲁棕,#D98C39,595,23.8%
C29,藏青,#AEB4F2,75,3.0%
C23,浅灰,#C8E2FF,57,2.3%
M07,哑光桃,#B4A497,55,2.2%
G15,柠檬绸,#FCF9E0,42,1.7%
P13,珠光蓝,#AACBEF,41,1.6%
D24,矢车菊蓝,#7786E5,29,1.2%
G11,卡其黄,#E0C593,25,1.0%
H05,暗灰,#48464E,24,1.0%
A05,亮黄,#F4D738,19,0.8%
P14,珠光深蓝,#3376B0,11,0.4%
