色号,名称,色值,数量,占比
H02,白色,#FEFFFF,1722,26.9%
G18,古董白,#FFE4C0,866,13.5%
H07,黑色,#000000,800,12.5%
R14,夜光浅青,#9FE4DF,688,10.8%
B14,霓虹黄,#ADE946,578,9.0%
B04,荧光绿,#5DE035,284,4.4%
C14,淡紫灰,#D5FDFF,241,3.8%
B20,粉蓝,#C2F0CC,234,3.7%
Q5,亮浅蓝,#76CEDE,180,2.8%
P08,珠光黄,#F0D958,176,2.8%
F19,玫红,#C1444A,164,2.6%
G03,硬木色,#F4C3A5,138,2.2%
G17,黑色,#7B524B,130,2.0%
B13,亮黄绿,#CAEB7B,74,1.2%
F23,橙红色,#F67E66,72,1.1%
H06,炭灰,#2F2B2F,53,0.8%
