色号,名称,色值,数量,占比
B31,蜜瓜绿,#B0E792,1639,27.0%
B17,橄榄暗绿,#9BB13A,1413,23.2%
E14,橙粉,#FFD1BA,1041,17.1%
H02,白色,#FEFFFF,866,14.2%
H07,黑色,#000000,304,5.0%
R20,夜光雪白,#E8C7B4,174,2.9%
H16,纯黑,#1D1414,133,2.2%
B26,暗金,#8D7A35,114,1.9%
G17,黑色,#7B524B,109,1.8%
H09,米灰,#EDEDED,109,1.8%
B32,黄绿2,#9CAB5A,86,1.4%
G14,赭色,#8D614C,62,1.0%
B23,深灰绿,#303A21,23,0.4%
G10,秘鲁棕,#D98C39,7,0.1%
